amazon_prime__y_or_n,asin,best_seller_tag__y_or_n,brand,delivery_type,left_in_stock,no_of_reviews,product_name,rating,sales_price,Category,seller_name
N,B07N6TD2WL,N,,fulfilled_by_merchant,0,300,Sf Jeans By Pantaloons Men's Plain Slim fit T-Shirt,3.6,265,MensT_Shirts,Madhav
Y,B07WJ6WPN1,N,LOVISTA,fulfilled_by_merchant,0,7,"LOVISTA Cotton Gota Patti Tassel Traditional Printed Kurti with Pant,Angrakha Salwar Suit",3.5,660,WomensKurtasKurtis,Madan Mohan
N,B07PYSF4WZ,N,,fulfilled_by_merchant,0,7,People Men's Printed Regular fit T-Shirt,3,195,MensT_Shirts,Gopal
Y,B082KXNM7X,N,,fulfilled_by_merchant,0,33,Monte Carlo Grey Solid Cotton Blend Polo Collar Tracksuit,5,1914,MensTracksuits,Vishakha
N,B07X5M41BJ,N,Forest Club,fulfilled_by_merchant,0,43,Forest Club | Gym Wear | Sports Shorts| Shorts for Men | Smooth Breathable Fabric | Shorts with Pocket Zippers | All TIME WEAR |,4.1,350,MensShorts,Sudevi
N,B07H9RCVHQ,N,PrintOctopus,fulfilled_by_merchant,0,2,PrintOctopus Graphic Printed T-Shirt for Men Chill T-Shirt | Hindi Quote T-Shirt | Half Sleeve T-Shirt for Women | Round Neck T Shirt | 100% Cotton T-Shirt | Short Sleeve T Shirt,3.7,288,MensT_Shirts,Shiva
Y,B07PJ5QWZ3,N,,fulfilled_by_merchant,0,2,Pepe Jeans Men's Solid Regular fit Casual Shirt,2.9,919,MensCasualShirts,Sarita
N,B01D6VFN7O,N,Carahere,fulfilled_by_merchant,0,11,Carahere Boys Handmade Pre-Tied Classic Polka Dot Bow Ties M132 Navy Blue,4.4,0,Other,Shishu
Y,B07P43X53C,N,Peppermint,fulfilled_by_merchant,0,18,Peppermint Synthetic Dress,5,619,GirlsDressesJumpsuits,Vrinda
N,B01BYJKPCS,N,Haase Unlimited,fulfilled_by_merchant,0,2,"Toddler Little Boy Straight Outta Timeout Long Sleeve T-Shirt (2T, Black)",4.4,0,Other,Uudhav
N,B07DWG6KYY,N,,fulfilled_by_merchant,0,36,Puma Unisex Tribal Regular Fit T-Shirt,3.8,289,GirlsT_Shirts,Shreyshi
N,B083Q45SS7,N,Jevi Prints,fulfilled_by_merchant,0,18,Jevi Prints Women's Cotton Printed Straight Kurta (PRJ-617),2.5,462,Other,Bhishm
N,B07C4GBMGX,N,OLLI,fulfilled_by_merchant,0,104,"OLLI Men's Orange, Lex Purple, White Cotton Brief Innerwear (Pack of 3)",5,499,MensUnderwearBriefs,Yogesh
N,B07X42BX1R,N,,fulfilled_by_amazon,0,56,Pinkmint Women's Multi-Coloured Digital Print Crepe Kurti,3.7,329,WomensKurtasKurtis,Lalita
Y,B083ZKXVGN,N,Miss Chase,fulfilled_by_merchant,0,591,Miss Chase Women's Solid Shoulder Cut-Out Half-Sleeve Round Neck Mini Dresses,3.7,669,WomensDresses,Madhav
Y,B07PYW9RRK,N,bebe,fulfilled_by_amazon,1,41,bebe Women Genuine Leather Slim Belt,4,760,WomensClothing,Vishakha
N,B073R5DWSB,N,Colt by Unlimited,fulfilled_by_merchant,0,38,Colt by Unlimited Men's T-Shirt,4.5,210,MensT_Shirts,Rohan
N,B073WD7HJN,N,,fulfilled_by_merchant,0,8,Pepe Jeans Women's Solid T-Shirt,3.3,483,WomensT_Shirts,Gaurav
N,B07MG5VTC8,N,C9,fulfilled_by_merchant,0,103,C9 Women Turquoise Active T-Shirt,5,599,WomensT_Shirts,Amol
Y,B00X3OIY1C,N,Winza Designer,fulfilled_by_amazon,1,103,Winza Designer Chiffon Saree with Blouse Piece,4.1,522,WomensSarees,Aastha
Y,B0759HPKCJ,N,kalpit creations,fulfilled_by_merchant,0,162,kalpit creations Men's Comfort Soft Cotton Black Plain Polo Collar Half Sleeve T-Shirt with Solid Color,3.2,249,MensPolos,Madan Mohan
N,B07H9TTVNG,N,Pooplu,fulfilled_by_merchant,0,1,"Pooplu Mens Ajay Cotton Printed Round Neck Half Sleeves Black & White T.Shirt. Common Names, Symbol Tshirts",3,399,MensT_Shirts,Pooja
Y,B07X8MR6PF,N,JORKK,fulfilled_by_merchant,0,5,JORKK Men's Cotton Polo Neck T-Shirt.,3.2,279,MensPolos,Shrichand
N,B07FNBK6Z4,N,nauti nati,fulfilled_by_merchant,0,161,nauti nati Girls' Midi Dress,3.1,401,GirlsDressesJumpsuits,Hitesh
N,B078R1G5GP,N,7 ate 9 Apparel,fulfilled_by_merchant,0,18,7 ate 9 Apparel Kids Fifth Birthday Unicorn T-Shirt 2T,4,3789,Other,Shourya
Y,B01BKBMTW4,N,Vimlon,fulfilled_by_merchant,0,3,Patangaa Ethnic Digital Printed Multicolored Readymade Women's Kurti,5,1499,Other,Ishpreet
N,B073ZZ92JJ,N,Aliven,fulfilled_by_merchant,0,109,3Pcs/Set Kids Baby Girls Dot Wrapped Tops + Big Hole Denim Jeans Pants + Headband Outfits Clothing Set,4.1,2565,Other,Sudhir
Y,B07K59HW84,N,GOLDSTROMS,fulfilled_by_merchant,0,30,GOLDSTROMS Minelli Women Round Neck Rayon Fabric Nursing/Feeding/Maternity Gown,5,1199,MaternityDresses,Sauptik
